#Found TraceLinks: ,,

modelElementID,sentence,confidence
_XuNf4FkJEeyewPSmlgszyA,30,1.0
_XuNf4FkJEeyewPSmlgszyA,30,1.0
_XuNf4FkJEeyewPSmlgszyA,32,1.0
_XuNf4FkJEeyewPSmlgszyA,41,1.0
_XuNf4FkJEeyewPSmlgszyA,42,1.0
_XuNf4FkJEeyewPSmlgszyA,44,1.0
_XuNf4FkJEeyewPSmlgszyA,45,1.0
_XuNf4FkJEeyewPSmlgszyA,70,1.0
_XuNf4FkJEeyewPSmlgszyA,5,1.0
_XuNf4FkJEeyewPSmlgszyA,9,1.0
_XuNf4FkJEeyewPSmlgszyA,10,1.0
_XuNf4FkJEeyewPSmlgszyA,15,1.0
_XuNf4FkJEeyewPSmlgszyA,20,1.0
_XuNf4FkJEeyewPSmlgszyA,26,1.0
_XuNf4FkJEeyewPSmlgszyA,32,1.0
_XuNf4FkJEeyewPSmlgszyA,33,1.0
_XuNf4FkJEeyewPSmlgszyA,34,1.0
_XuNf4FkJEeyewPSmlgszyA,35,1.0
_XuNf4FkJEeyewPSmlgszyA,42,1.0
_XuNf4FkJEeyewPSmlgszyA,42,1.0
_XuNf4FkJEeyewPSmlgszyA,68,1.0
_XuNf4FkJEeyewPSmlgszyA,69,1.0
_XuNf4FkJEeyewPSmlgszyA,69,1.0
_nwrCMFwPEeyiuNx_RO7j-Q,18,1.0
_nwrCMFwPEeyiuNx_RO7j-Q,36,1.0
_nwrCMFwPEeyiuNx_RO7j-Q,37,1.0
_nwrCMFwPEeyiuNx_RO7j-Q,40,1.0
_nwrCMFwPEeyiuNx_RO7j-Q,48,1.0
_nwrCMFwPEeyiuNx_RO7j-Q,58,1.0
_nwrCMFwPEeyiuNx_RO7j-Q,69,1.0
_6sergFkHEeyewPSmlgszyA,25,1.0
_6sergFkHEeyewPSmlgszyA,26,1.0
_6sergFkHEeyewPSmlgszyA,27,1.0
_6sergFkHEeyewPSmlgszyA,28,1.0
_6sergFkHEeyewPSmlgszyA,47,1.0
_6sergFkHEeyewPSmlgszyA,47,1.0
_6sergFkHEeyewPSmlgszyA,49,1.0
_6sergFkHEeyewPSmlgszyA,25,1.0
_6sergFkHEeyewPSmlgszyA,26,1.0
_6sergFkHEeyewPSmlgszyA,47,1.0
_6sergFkHEeyewPSmlgszyA,65,1.0
